wildemoon, "not related to this, but I think a game of Guess Who with the people as chat regulars would be so fun lol", 12/31/2025 12:22 PM, Just Chatting, https://static-cdn.jtvnw.net/ttv-boxart/509658-264x352.jpg, Stream work and some gaming | !discord !clip
wildemoon, "like, instead of the pictures it'd be like "is this person Nordic?" "does this person stream" etc", 12/31/2025 12:24 PM, Just Chatting, https://static-cdn.jtvnw.net/ttv-boxart/509658-264x352.jpg, Stream work and some gaming | !discord !clip
alyssasketches, "purple alllllll the way", 12/31/2025 12:25 PM, Just Chatting, https://static-cdn.jtvnw.net/ttv-boxart/509658-264x352.jpg, Stream work and some gaming | !discord !clip
wildemoon, "I'm here to break things", 12/31/2025 12:25 PM, Just Chatting, https://static-cdn.jtvnw.net/ttv-boxart/509658-264x352.jpg, Stream work and some gaming | !discord !clip
wildemoon, "if google forms can create a new row in an excel file, then MIU has to be able to, MIU is way smarter lol", 12/31/2025 12:27 PM, Just Chatting, https://static-cdn.jtvnw.net/ttv-boxart/509658-264x352.jpg, Stream work and some gaming | !discord !clip
wildemoon, "are you over waterpark sim now?", 12/31/2025 12:29 PM, Just Chatting, https://static-cdn.jtvnw.net/ttv-boxart/509658-264x352.jpg, Stream work and some gaming | !discord !clip
alyssasketches, "i’m down! i did get my three stars tho", 12/31/2025 12:31 PM, Just Chatting, https://static-cdn.jtvnw.net/ttv-boxart/509658-264x352.jpg, Stream work and some gaming | !discord !clip
alyssasketches, "Waterpark made s tier yesterday. it was def a highlight of the year", 12/31/2025 12:31 PM, Just Chatting, https://static-cdn.jtvnw.net/ttv-boxart/509658-264x352.jpg, Stream work and some gaming | !discord !clip
alyssasketches, "THE FOREST. With Alex and I playing would be amazing", 12/31/2025 12:32 PM, Just Chatting, https://static-cdn.jtvnw.net/ttv-boxart/509658-264x352.jpg, Stream work and some gaming | !discord !clip
philofthefutur3, "THIS SECRET REDACTED CHANNEL IS KILLING ME", 12/31/2025 12:32 PM, Just Chatting, https://static-cdn.jtvnw.net/ttv-boxart/509658-264x352.jpg, Stream work and some gaming | !discord !clip
alyssasketches, "@philofthefutur3 I’m working on assets this week alyssa321Grimace", 12/31/2025 12:33 PM, Just Chatting, https://static-cdn.jtvnw.net/ttv-boxart/509658-264x352.jpg, Stream work and some gaming | !discord !clip
alyssasketches, "We’ll announce it earlier! But the first stream on the actual channel will be in Feb :)", 12/31/2025 12:33 PM, Just Chatting, https://static-cdn.jtvnw.net/ttv-boxart/509658-264x352.jpg, Stream work and some gaming | !discord !clip
wildemoon, "@AngelFormerlyKnownAsWRIQ have they tried turning off all of discord's voice isolation and the like?", 12/31/2025 12:34 PM, Just Chatting, https://static-cdn.jtvnw.net/ttv-boxart/509658-264x352.jpg, Stream work and some gaming | !discord !clip
alyssasketches, "Hey Wriq! And I have had this issue! Never looked into it as long as the audio never caused disruption?", 12/31/2025 12:35 PM, Just Chatting, https://static-cdn.jtvnw.net/ttv-boxart/509658-264x352.jpg, Stream work and some gaming | !discord !clip
